model,triplet_id,domain,concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
TinyLlama-1.1B,7,Social Space,Wa (和),6,0.05749637,0.0017640591,0.010088086,0.05963373
TinyLlama-1.1B,7,Social Space,Wa (和),7,0.084768414,0.0024875402,0.012957931,0.10270786
TinyLlama-1.1B,7,Social Space,Wa (和),8,0.11189026,0.004028082,0.01867485,0.1439256
TinyLlama-1.1B,7,Social Space,Wa (和),9,0.12836236,0.0047480464,0.021473587,0.16831613
TinyLlama-1.1B,7,Social Space,Wa (和),10,0.15855783,0.006482005,0.028117776,0.21697283
TinyLlama-1.1B,7,Social Space,Wa (和),11,0.1739912,0.0085532665,0.0306139,0.24024278
TinyLlama-1.1B,7,Social Space,Wa (和),12,0.19623083,0.009749889,0.037938118,0.29225528
TinyLlama-1.1B,7,Social Space,Wa (和),13,0.21291244,0.012658894,0.046480298,0.3430373
TinyLlama-1.1B,7,Social Space,Wa (和),14,0.22953355,0.016679108,0.05849707,0.38152087
TinyLlama-1.1B,7,Social Space,Wa (和),15,0.24136394,0.0200997,0.0652805,0.38939565
TinyLlama-1.1B,7,Social Space,Wa (和),16,0.2957272,0.02498442,0.10419047,0.44679427
TinyLlama-1.1B,7,Social Space,Wa (和),17,0.32165533,0.031425,0.12796772,0.4704857
TinyLlama-1.1B,7,Social Space,Wa (和),18,0.35088432,0.0384292,0.19089544,0.47767413
TinyLlama-1.1B,7,Social Space,Wa (和),19,0.4915207,0.043227375,0.2705083,0.5251458
TinyLlama-1.1B,7,Social Space,Wa (和),20,0.46999806,0.05084026,0.37765568,0.482001
TinyLlama-1.1B,7,Social Space,Wa (和),21,0.6836241,0.05292684,0.5274563,0.7345161
TinyLlama-1.1B,7,Social Space,Wa (和),22,0.9281776,0.07442874,0.7389395,0.9750297
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),0,0.8351251,0.23802036,0.6168228,0.8351251
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),1,0.18055189,0.024867594,0.08079839,0.18206233
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),2,0.1748082,0.024959981,0.10024226,0.175021
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),3,0.012862444,0.00045740604,0.0028911233,0.012323618
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),4,0.022491336,0.00079518557,0.0050495863,0.021074653
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),5,0.0408895,0.0013380051,0.008531094,0.0334512
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),6,0.06301808,0.0022892952,0.01297462,0.057998657
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),7,0.09314823,0.003583908,0.018361032,0.09537047
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),8,0.11397445,0.004701078,0.026820898,0.1317051
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),9,0.13267261,0.0052171946,0.029500365,0.15786666
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),10,0.16027778,0.0071970224,0.04019034,0.20756048
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),11,0.1766426,0.0101059675,0.046891987,0.23060608
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),12,0.19878858,0.011266232,0.05675727,0.2848391
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),13,0.21747637,0.013923526,0.066443324,0.3522017
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),14,0.23744887,0.016093671,0.074017644,0.38430363
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),15,0.2533139,0.019370139,0.08373219,0.38505685
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),16,0.308394,0.02278179,0.124143004,0.43275476
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),17,0.3257503,0.028037786,0.14419907,0.44452518
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),18,0.34316266,0.0345245,0.221973,0.4509396
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),19,0.46972895,0.04288429,0.3083306,0.51513106
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),20,0.44958335,0.051161885,0.39199072,0.4898408
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),21,0.61167,0.056259096,0.52141184,0.66281956
TinyLlama-1.1B,8,Social Space,Kuuki wo Yomu (空気を読む),22,0.859019,0.08151406,0.7050736,0.84517944
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),0,0.89367306,0.13515776,0.6550132,0.89367306
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),1,0.20349652,0.015506685,0.10798454,0.2062996
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),2,0.19855613,0.012624145,0.08829397,0.19952124
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),3,0.011434674,0.00023931265,0.0016809702,0.0116763115
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),4,0.020124078,0.00035697222,0.0029637814,0.020788848
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),5,0.0338493,0.0005761385,0.0056652427,0.035449743
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),6,0.05202204,0.0008639693,0.008051813,0.056221247
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),7,0.07890916,0.001287818,0.010874569,0.09574711
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),8,0.103527844,0.0020830631,0.017321467,0.12969041
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),9,0.12362325,0.0025710464,0.018498719,0.15746194
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),10,0.15452987,0.0035812259,0.024303317,0.20847732
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),11,0.1728642,0.004587233,0.026920378,0.22842371
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),12,0.19981182,0.005243182,0.034321904,0.27653837
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),13,0.20933992,0.0063147545,0.03939432,0.32410085
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),14,0.22907823,0.0077730417,0.04622525,0.3552469
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),15,0.2477634,0.010070324,0.051698387,0.37012702
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),16,0.29638958,0.01196903,0.08199018,0.43038934
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),17,0.30704278,0.015571296,0.10176742,0.4639297
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),18,0.32586652,0.017925024,0.16146892,0.4537381
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),19,0.46406645,0.02012968,0.24137753,0.5220585
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),20,0.4493801,0.021451235,0.3262115,0.48376524
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),21,0.6456859,0.023598135,0.5067868,0.6922123
TinyLlama-1.1B,9,Social Space,Uchi-Soto (内-外),22,0.9206617,0.0277161,0.70004475,0.9550201
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),0,0.88582534,0.32842118,0.6841051,0.88582534
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),1,0.21074826,0.033488154,0.09175491,0.21263993
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),2,0.18450761,0.027624369,0.11216402,0.19164741
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),3,0.014880717,0.0003619194,0.0021216273,0.014190674
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),4,0.026015997,0.0006969571,0.0038155317,0.0247432
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),5,0.044986725,0.0011463165,0.006195545,0.041454434
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),6,0.06773996,0.001796186,0.009475887,0.064273655
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),7,0.09879202,0.0025879145,0.012717962,0.10473794
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),8,0.121299684,0.004394233,0.018742383,0.14043212
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),9,0.13816112,0.0050638914,0.022032619,0.16523772
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),10,0.16870195,0.0074008703,0.029091716,0.21408635
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),11,0.19055158,0.009199858,0.03346342,0.23436928
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),12,0.21194524,0.010848582,0.040344894,0.2945031
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),13,0.23286247,0.013704419,0.047261298,0.3631001
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),14,0.24829125,0.017441094,0.05296606,0.38213205
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),15,0.2644754,0.020029426,0.0625819,0.37992913
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),16,0.31677526,0.023822486,0.09487492,0.39752114
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),17,0.33466035,0.03164822,0.11021656,0.39508504
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),18,0.34115982,0.03499621,0.16980112,0.3932132
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),19,0.47568244,0.0377059,0.24083513,0.4710768
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),20,0.4353615,0.038923144,0.31266993,0.407165
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),21,0.6255374,0.044139802,0.44913298,0.61541545
TinyLlama-1.1B,10,Social Space,Honne to Tatemae (本音と建前),22,0.88062775,0.06904954,0.645687,0.86458313
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),0,0.8952993,0.11967778,0.6293105,0.8952993
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),1,0.21171576,0.011924446,0.08536935,0.21460515
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),2,0.20026714,0.015113294,0.10648632,0.20222425
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),3,0.012576401,0.00030303,0.0022147298,0.011566877
